season,club,cl_round
1718,Real Madrid,5
1718,Liverpool,4
1718,Bayern Munich,3
1718,Roma,3
1819,Liverpool,5
1819,Tottenham Hotspur,4
1819,Ajax,3
1819,Barcelona,3
1920,Bayern Munich,5
1920,Paris Saint-Germain,4
1920,RB Leipzig,3
1920,Lyon,3
2021,Chelsea,5
2021,Manchester City,4
2021,Real Madrid,3
2021,Paris Saint-Germain,3
2122,Real Madrid,5
2122,Liverpool,4
2122,Manchester City,3
2122,Villarreal,3
2223,Manchester City,5
2223,Inter Milan,4
2223,Real Madrid,3
2223,AC Milan,3
2324,Real Madrid,5
2324,Borussia Dortmund,4
2324,Bayern Munich,3
2324,Paris Saint-Germain,3
2425,Paris Saint-Germain,5
2425,Inter Milan,4
2425,Arsenal,3
2425,Barcelona,3
