award_year,season,player,nationality,position,squad,league,nineties,tackles_won,interceptions,blocks,clearances,prog_passes,tackle_pct,aerial_win_pct,psxg_net,save_pct
2024,2324,Henrikh Mkhitaryan,ARM,MF,Inter,Serie A,30.9,34,29,23,43,192.0,49.0,48.4,,
2024,2324,Yann Sommer,SUI,GK,Inter,Serie A,34.0,1,0,1,7,0.0,100.0,75.0,6.5,82.7
2024,2324,Nicolò Barella,ITA,MF,Inter,Serie A,31.6,30,10,31,12,278.0,30.2,57.1,,
2024,2324,Marcus Thuram,FRA,FW,Inter,Serie A,29.9,15,4,26,19,47.0,30.8,62.5,,
2024,2324,Hakan Çalhanoğlu,TUR,MF,Inter,Serie A,28.4,33,24,29,22,186.0,65.3,59.1,,
2024,2324,Lautaro Martínez,ARG,FW,Inter,Serie A,29.5,16,20,30,10,80.0,21.1,58.5,,
2024,2324,Federico Dimarco,ITA,DF,Inter,Serie A,23.1,25,9,18,34,100.0,48.6,40.0,,
2024,2324,Alessandro Bastoni,ITA,DF,Inter,Serie A,25.2,33,23,25,48,142.0,65.0,56.1,,
2024,2324,Matteo Darmian,ITA,DF,Inter,Serie A,26.7,22,13,27,55,72.0,37.7,54.1,,
2024,2324,Francesco Acerbi,ITA,DF,Inter,Serie A,26.5,13,32,20,77,87.0,78.6,65.4,,
2024,2324,Benjamin Pavard,FRA,DF,Inter,Serie A,18.6,21,32,25,44,89.0,83.3,56.5,,
2024,2324,Denzel Dumfries,NED,DF,Inter,Serie A,18.2,13,12,15,33,51.0,39.1,66.7,,
2024,2324,Stefan de Vrij,NED,DF,Inter,Serie A,17.6,13,24,22,51,43.0,53.3,64.8,,
2024,2324,Carlos Augusto,BRA,DF,Inter,Serie A,19.2,21,16,20,52,54.0,68.2,69.4,,
2024,2324,Yann Aurel Bisseck,GER,DF,Inter,Serie A,10.0,6,5,10,23,30.0,66.7,51.4,,
2024,2324,Davide Frattesi,ITA,MF,Inter,Serie A,10.6,6,5,9,19,37.0,50.0,48.3,,
2024,2324,Kristjan Asllani,ALB,MF,Inter,Serie A,8.7,2,11,9,8,32.0,18.2,36.4,,
2024,2324,Alexis Sánchez,CHI,FW,Inter,Serie A,8.5,6,1,4,3,53.0,25.0,38.1,,
2024,2324,Marko Arnautović,AUT,FW,Inter,Serie A,8.9,4,5,8,5,20.0,57.1,36.4,,
2024,2324,Emil Audero,ITA,GK,Inter,Serie A,3.7,0,0,0,1,0.0,0.0,100.0,0.1,72.7
2024,2324,Davy Klaassen,NED,MF,Inter,Serie A,2.3,2,3,5,4,7.0,33.3,80.0,,
2024,2324,Juan Cuadrado,COL,DF,Inter,Serie A,3.0,3,1,6,2,11.0,60.0,0.0,,
2024,2324,Tajon Buchanan,CAN,DF,Inter,Serie A,1.8,1,0,1,4,4.0,50.0,0.0,,
2024,2324,Stefano Sensi,ITA,MF,Inter,Serie A,0.5,1,1,1,0,3.0,33.3,0.0,,
2024,2324,Raffaele Di Gennaro,ITA,GK,Inter,Serie A,0.3,0,0,0,0,0.0,0.0,0.0,0.5,100.0
2024,2324,Ebenezer Akinsanmiro,NGA,MF,Inter,Serie A,0.2,0,0,0,0,2.0,0.0,0.0,,
2024,2324,Lucien Agoume,FRA,MF,Inter,Serie A,0.1,0,0,0,0,0.0,0.0,100.0,,
2024,2324,Tijjani Reijnders,NED,MF,Milan,Serie A,31.3,25,18,26,26,204.0,48.8,30.8,,
2024,2324,Christian Pulisic,USA,"FW,MF",Milan,Serie A,28.9,26,10,20,10,87.0,56.7,38.1,,
2024,2324,Theo Hernández,FRA,DF,Milan,Serie A,31.0,17,23,33,42,166.0,50.0,61.7,,
2024,2324,Mike Maignan,FRA,GK,Milan,Serie A,29.0,0,1,1,4,0.0,100.0,87.5,-4.2,77.5
2024,2324,Rafael Leão,POR,FW,Milan,Serie A,27.9,10,9,15,19,117.0,61.5,58.5,,
2024,2324,Olivier Giroud,FRA,FW,Milan,Serie A,26.3,11,6,14,22,28.0,14.3,50.9,,
2024,2324,Davide Calabria,ITA,DF,Milan,Serie A,24.3,38,24,26,49,140.0,61.1,30.8,,
2024,2324,Ruben Loftus-Cheek,ENG,MF,Milan,Serie A,23.0,18,9,24,10,74.0,55.6,58.1,,
2024,2324,Fikayo Tomori,ENG,DF,Milan,Serie A,23.6,24,26,34,75,63.0,62.1,52.7,,
2024,2324,Alessandro Florenzi,ITA,DF,Milan,Serie A,19.2,21,20,16,25,106.0,54.2,29.2,,
2024,2324,Malick Thiaw,GER,DF,Milan,Serie A,18.0,17,13,23,55,70.0,48.0,63.8,,
2024,2324,Yacine Adli,FRA,MF,Milan,Serie A,15.6,17,20,22,15,125.0,37.1,60.0,,
2024,2324,Matteo Gabbia,ITA,DF,Milan,Serie A,14.2,20,10,11,48,42.0,75.0,66.0,,
2024,2324,Simon Kjær,DEN,DF,Milan,Serie A,13.0,15,14,22,46,52.0,63.6,57.5,,
2024,2324,Yunus Musah,USA,"MF,FW",Milan,Serie A,16.4,14,10,18,16,64.0,53.3,43.8,,
2024,2324,Ismaël Bennacer,ALG,MF,Milan,Serie A,12.8,19,12,12,9,68.0,50.0,40.6,,
2024,2324,Samuel Chukwueze,NGA,FW,Milan,Serie A,11.3,7,6,3,3,51.0,52.9,34.6,,
2024,2324,Luka Jović,SRB,FW,Milan,Serie A,9.7,4,1,3,9,22.0,66.7,53.1,,
2024,2324,Rade Krunić,BIH,MF,Milan,Serie A,7.6,8,11,7,14,24.0,44.4,64.7,,
2024,2324,Marco Sportiello,ITA,GK,Milan,Serie A,7.0,0,0,0,2,0.0,0.0,0.0,-1.1,69.7
2024,2324,Noah Okafor,SUI,"FW,MF",Milan,Serie A,9.9,4,0,8,10,15.0,30.0,35.0,,
2024,2324,Pierre Kalulu,FRA,DF,Milan,Serie A,4.2,1,1,4,12,19.0,50.0,27.3,,
2024,2324,Tommaso Pobega,ITA,MF,Milan,Serie A,3.5,9,6,10,7,11.0,46.2,50.0,,
2024,2324,Antonio Mirante,ITA,GK,Milan,Serie A,2.0,0,0,0,1,0.0,0.0,100.0,0.1,62.5
2024,2324,Filippo Terracciano,ITA,"DF,FW",Milan,Serie A,0.8,2,0,3,1,1.0,33.3,0.0,,
2024,2324,Jan-Carlo Simic,SRB,DF,Milan,Serie A,1.6,1,0,5,3,6.0,0.0,50.0,,
2024,2324,Luka Romero,ARG,"FW,MF",Milan,Serie A,1.0,0,0,2,0,3.0,0.0,50.0,,
2024,2324,Davide Bartesaghi,ITA,"DF,MF",Milan,Serie A,0.9,0,0,1,7,3.0,50.0,100.0,,
2024,2324,Alejandro Jiménez,ESP,DF,Milan,Serie A,0.8,1,0,0,4,2.0,40.0,0.0,,
