player,nation
Achraf Hakimi,Morocco
Ademola Lookman,Nigeria
Alexis Mac Allister,Argentina
Alisson,Brazil
André Onana,Cameroon
Antoine Griezmann,France
Antonio Rüdiger,Germany
Artem Dovbyk,Ukraine
Bernardo Silva,Portugal
Bruno Fernandes,Portugal
Bukayo Saka,England
Casemiro,Brazil
Cesar Azpilicueta,Spain
Christopher Nkunku,France
Cole Palmer,England
Cristiano Ronaldo,Portugal
Dani Carvajal,Spain
Dani Olmo,Spain
Darwin Núñez,Uruguay
David de Gea,Spain
Declan Rice,England
Denzel Dumfries,Netherlands
Diego Godín,Uruguay
Donny van de Beek,Netherlands
Dries Mertens,Belgium
Dušan Tadić,Serbia
Dušan Vlahović,Serbia
Désiré Doué,France
Eden Hazard,Belgium
Edin Džeko,Bosnia and Herzegovina
Edinson Cavani,Uruguay
Emiliano Martínez,Argentina
Erling Haaland,Norway
Fabinho,Brazil
Fabián Ruiz,Spain
Federico Valverde,Uruguay
Florian Wirtz,Germany
Frenkie de Jong,Netherlands
Gareth Bale,Wales
Georginio Wijnaldum,Netherlands
Gerard Moreno,Spain
Gianluigi Buffon,Italy
Gianluigi Donnarumma,Italy
Giorgio Chiellini,Italy
Granit Xhaka,Switzerland
Hakan Çalhanoğlu,Turkey
Harry Kane,England
Hugo Lloris,France
Isco,Spain
Ivan Rakitić,Croatia
Jamal Musiala,Germany
Jan Oblak,Slovenia
Jorginho,Italy
Joshua Kimmich,Germany
João Cancelo,Portugal
João Félix,Portugal
João Neves,Portugal
Joško Gvardiol,Croatia
Jude Bellingham,England
Julián Álvarez,Argentina
Kalidou Koulibaly,Senegal
Karim Benzema,France
Kevin De Bruyne,Belgium
Khvicha Kvaratskhelia,Georgia
Kim Min-jae,South Korea
Kylian Mbappé,France
Lamine Yamal,Spain
Lautaro Martínez,Argentina
Leonardo Bonucci,Italy
Lionel Messi,Argentina
Luis Díaz,Colombia
Luis Suárez,Uruguay
Luka Modrić,Croatia
Marc-André ter Stegen,Germany
Marcelo,Brazil
Mario Mandžukić,Croatia
Marquinhos,Brazil
Martin Ødegaard,Norway
Mason Mount,England
Mats Hummels,Germany
Matthijs de Ligt,Netherlands
Michael Olise,France
Mike Maignan,France
Mohamed Salah,Egypt
N'Golo Kanté,France
Neymar,Brazil
Nico Williams,Spain
Nicolò Barella,Italy
Nuno Mendes,Portugal
Ousmane Dembélé,France
Paul Pogba,France
Paulo Dybala,Argentina
Pedri,Spain
Phil Foden,England
Philippe Coutinho,Brazil
Pierre-Emerick Aubameyang,Gabon
Radamel Falcao,Colombia
Rafael Leão,Portugal
Raheem Sterling,England
Randal Kolo Muani,France
Raphaël Varane,France
Raphinha,Brazil
Riyad Mahrez,Algeria
Robert Lewandowski,Poland
Roberto Firmino,Brazil
Rodri,Spain
Romelu Lukaku,Belgium
Rúben Dias,Portugal
Sadio Mané,Senegal
Scott McTominay,Scotland
Sergio Agüero,Argentina
Sergio Ramos,Spain
Serhou Guirassy,Guinea
Simon Kjær,Denmark
Son Heung-min,South Korea
Sébastien Haller,Ivory Coast
Thibaut Courtois,Belgium
Toni Kroos,Germany
Trent Alexander-Arnold,England
Victor Osimhen,Nigeria
Viktor Gyökeres,Sweden
Vinícius Júnior,Brazil
Virgil van Dijk,Netherlands
Vitinha,Portugal
William Saliba,France
Yassine Bounou,Morocco
Álex Grimaldo,Spain
İlkay Gündoğan,Germany
